,Image_Name,Method,Tile_Size,Entropy,StdDev,SSIM,Bhattacharyya,LCV,Overall_Score
1,D1.jpg,AHE,8,6.65609444919333,0.122166513028659,0.597925079682556,0.490721809478882,0.0022404040267644,0.25144061610375434
5,D2.jpg,AHE,8,7.44495083900446,0.210870767708443,0.695411121681228,0.406591487533372,0.0038627160348481,0.5978778114657537
9,D3.jpg,AHE,8,6.37933865202604,0.135799685233638,0.748666879733188,0.427126894094154,0.0009970766648013,0.33321360671369693
13,D4.jpg,AHE,8,6.9676453637539,0.13301829734143,0.722500929347312,0.487599796873481,0.0027013453040292,0.3835819670189961
17,D5.jpg,AHE,8,7.0074012272907,0.127040954435867,0.577698995906584,0.612835044735758,0.0052768584648971,0.2569837571432458
21,L1.jpg,AHE,8,7.27359294515585,0.247095119916262,0.781295241800932,0.461624932325244,0.0061164955776104,0.6538806550572868
25,L2.jpg,AHE,8,7.62033317726604,0.238744786550263,0.774399089320393,0.359253319506538,0.0071559064941839,0.7454710358054633
29,L3.jpg,AHE,8,7.39879886258357,0.272729757785798,0.794772487206848,0.544955297363714,0.0098883554213363,0.6952666340318268
33,L4.jpg,AHE,8,7.3414813836068,0.269778278697428,0.83676769818427,0.534824052297507,0.0057399812043981,0.688516247271625
37,L5.jpg,AHE,8,7.90378188478951,0.273077586355631,0.671957987719249,0.437396414670389,0.0279319547529885,0.8503622105124451
