Image,Sobel_Luminance,Sobel_Gaussian,Sobel_Selective,SSIM_Luminance,SSIM_Gaussian,SSIM_Selective,Entropy_Luminance,Entropy_Gaussian,Entropy_Selective,FGEdge_Luminance,FGEdge_Gaussian,FGEdge_Selective,Contrast_Luminance,Contrast_Gaussian,Contrast_Selective
E0.jpg,0.742903114584531,0.805654522468682,0.807148603608781,0.898212747568989,0.917611753505215,0.921328802608844,5.54410523385412,5.6042908968695,5.57015775776153,0.0333813333333333,0.0333813333333333,0.0333813333333333,1.75408278718102,1.78282356136166,1.92291459118267
E1.jpg,0.60790273556231,0.498024316109422,0.507142857142857,0.849520715184662,0.729577265927849,0.739224534988777,6.80322645485892,6.3794907596847,6.31988560414089,0.0269791044776119,0.0269791044776119,0.0269791044776119,1.69511169514465,2.39318602632446,2.46384804028661
E2.jpg,0.435605521559698,0.243489398036146,0.247616336985911,0.798394619449361,0.569718862811164,0.577257921084157,6.5033481092472,6.01176887031477,5.80778348374887,0.0160373333333333,0.0160373333333333,0.0160373333333333,1.48155041223278,1.75295958878225,1.86166584320424
E3.jpg,0.86429512516469,0.908432147562582,0.911176987263944,0.843811433136695,0.842306777759126,0.840317690601526,6.49022009687479,5.92107262600976,5.54058728814353,0.04592,0.04592,0.04592,2.14249022785967,3.02055118125666,3.88597776264682
E4.jpg,0.717325800376648,0.338606403013183,0.351977401129944,0.925028131629285,0.856903245029204,0.854232613718553,7.29323399144261,7.11244293147524,7.00023125443592,0.009616,0.009616,0.009616,0.936789668309458,1.05061448375186,1.173183063726
H0.jpg,0.858557284299859,0.707449316360207,0.717350306459217,0.869226106208418,0.789477546209077,0.781656037627029,6.71762682953912,6.61110805438993,6.34243624330416,0.0184582210242588,0.0184582210242588,0.0184582210242588,1.60485012075415,1.83862480358676,2.56694418489891
H1.jpg,0.708485586682907,0.694139937745297,0.707673568818514,0.806740283863201,0.794828203064271,0.808635713313865,6.37347207668283,6.33904027564679,6.12445925027717,0.036336,0.036336,0.036336,1.95071991233899,2.15886697647723,2.37235895451339
H2.jpg,0.710331248552235,0.459346768589298,0.467570071809127,0.824089779387307,0.707882784550733,0.710937308954118,6.88327185746406,6.42592942260024,6.24329225831469,0.0215293244246474,0.0215293244246474,0.0215293244246474,1.36419724323145,1.88116841506961,2.089178301057
H3.jpg,0.714083108778897,0.857041554389448,0.861721741596937,0.802376138217559,0.850221426925904,0.833991678222053,6.24311276970789,6.36587119997574,6.30263603175315,0.0369493333333333,0.0369493333333333,0.0369493333333333,1.43967884164897,1.52812280215198,1.64821182352196
H4.jpg,0.789234760051881,0.570038910505837,0.581712062256809,0.870858538792976,0.883247801398448,0.87247844477276,6.61609350353085,6.23283443414825,6.03657739184485,0.0192746666666667,0.0192746666666667,0.0192746666666667,0.926011423768897,1.36969573742661,1.57570253898678
